date,region,product,customer_segment,revenue,units
2024-07-01,APAC,Dashboard Builder,Enterprise,3512.22,2
2024-07-01,LATAM,Analytics Suite,Mid-Market,1247.7,3
2024-07-01,North America,Dashboard Builder,SMB,280.78,6
2024-07-01,North America,Analytics Suite,SMB,287.32,2
2024-07-01,Europe,Insight Pro,Mid-Market,1537.52,2
2024-07-01,APAC,Data Connector,Mid-Market,1310.39,6
2024-07-02,North America,Dashboard Builder,SMB,474.39,3
2024-07-02,North America,Analytics Suite,SMB,379.16,2
2024-07-02,APAC,Analytics Suite,SMB,334.54,5
2024-07-03,North America,Insight Pro,Mid-Market,1583.35,1
2024-07-03,North America,Insight Pro,SMB,495.58,3
2024-07-03,North America,Analytics Suite,Enterprise,2949.1,1
2024-07-03,North America,Data Connector,Mid-Market,1009.16,2
2024-07-03,APAC,Dashboard Builder,SMB,274.35,2
2024-07-03,North America,Data Connector,Enterprise,2624.8,1
2024-07-03,Europe,Data Connector,Enterprise,2955.11,1
2024-07-03,North America,Insight Pro,Enterprise,4275.51,1
2024-07-03,North America,Dashboard Builder,Enterprise,2515.67,1
2024-07-03,North America,Analytics Suite,Enterprise,3909.81,1
2024-07-04,North America,Analytics Suite,SMB,323.16,4
2024-07-04,APAC,Dashboard Builder,Mid-Market,1426.06,3
2024-07-04,North America,Insight Pro,Enterprise,4395.36,1
2024-07-04,LATAM,Analytics Suite,Mid-Market,937.89,3
2024-07-04,LATAM,Dashboard Builder,Mid-Market,1392.32,1
2024-07-04,APAC,Analytics Suite,SMB,252.19,9
2024-07-04,North America,Analytics Suite,Mid-Market,935.18,1
2024-07-05,North America,Dashboard Builder,Mid-Market,1446.24,4
2024-07-05,Europe,Data Connector,Mid-Market,1473.59,6
2024-07-05,APAC,Insight Pro,Mid-Market,1182.6,5
2024-07-05,Europe,Dashboard Builder,SMB,310.81,3
2024-07-05,North America,Analytics Suite,Mid-Market,841.75,2
2024-07-05,APAC,Analytics Suite,SMB,400.74,6
2024-07-06,Europe,Data Connector,Mid-Market,1227.93,1
2024-07-06,North America,Insight Pro,Enterprise,4084.19,2
2024-07-06,Europe,Dashboard Builder,SMB,267.66,2
2024-07-06,LATAM,Data Connector,Mid-Market,795.62,3
2024-07-06,North America,Analytics Suite,Enterprise,5724.57,1
2024-07-06,LATAM,Insight Pro,Enterprise,3265.86,2
2024-07-06,North America,Dashboard Builder,Mid-Market,946.7,1
2024-07-06,Europe,Insight Pro,SMB,440.02,1
2024-07-07,APAC,Dashboard Builder,Enterprise,3383.75,1
2024-07-07,North America,Data Connector,Mid-Market,1508.94,1
2024-07-08,Europe,Analytics Suite,SMB,382.14,3
2024-07-08,APAC,Dashboard Builder,Mid-Market,1336.25,3
2024-07-08,North America,Data Connector,Enterprise,2379.03,1
2024-07-08,Europe,Data Connector,SMB,377.97,1
2024-07-08,Europe,Analytics Suite,SMB,287.45,6
2024-07-08,North America,Dashboard Builder,Mid-Market,1025.06,5
2024-07-09,LATAM,Dashboard Builder,Mid-Market,1204.83,2
2024-07-09,North America,Dashboard Builder,Mid-Market,1254.05,4
2024-07-09,Europe,Insight Pro,SMB,429.46,6
2024-07-09,North America,Insight Pro,SMB,323.78,1
2024-07-09,LATAM,Dashboard Builder,SMB,269.64,5
2024-07-09,APAC,Data Connector,SMB,327.82,2
2024-07-10,Europe,Analytics Suite,Mid-Market,1008.77,1
2024-07-10,Europe,Analytics Suite,SMB,186.18,1
2024-07-10,LATAM,Analytics Suite,Mid-Market,1120.27,2
2024-07-11,North America,Dashboard Builder,Mid-Market,1253.19,2
2024-07-11,North America,Data Connector,Enterprise,2566.53,1
2024-07-11,North America,Analytics Suite,SMB,234.07,6
2024-07-11,Europe,Dashboard Builder,SMB,199.53,5
2024-07-11,North America,Insight Pro,SMB,306.13,3
2024-07-11,North America,Data Connector,Mid-Market,1659.3,5
2024-07-11,North America,Analytics Suite,SMB,308.8,4
2024-07-11,North America,Data Connector,Mid-Market,1550.28,3
2024-07-12,APAC,Analytics Suite,Mid-Market,1137.13,5
2024-07-12,LATAM,Data Connector,SMB,176.91,2
2024-07-12,Europe,Insight Pro,Enterprise,5087.91,1
2024-07-12,North America,Dashboard Builder,Enterprise,3129.55,3
2024-07-12,North America,Analytics Suite,Enterprise,5555.74,1
2024-07-12,North America,Analytics Suite,Mid-Market,520.84,2
2024-07-12,North America,Data Connector,SMB,329.62,2
2024-07-12,LATAM,Analytics Suite,Enterprise,4060.12,2
2024-07-12,APAC,Data Connector,Mid-Market,1175.29,1
2024-07-12,North America,Insight Pro,Mid-Market,1306.15,1
2024-07-12,APAC,Data Connector,Mid-Market,1359.92,2
2024-07-12,North America,Analytics Suite,SMB,296.79,2
2024-07-12,North America,Analytics Suite,Mid-Market,902.1,1
2024-07-13,Europe,Dashboard Builder,Mid-Market,1310.54,1
2024-07-13,North America,Data Connector,Enterprise,3677.64,1
2024-07-13,North America,Data Connector,SMB,303.44,1
2024-07-13,LATAM,Data Connector,Enterprise,4779.76,2
2024-07-13,Europe,Insight Pro,SMB,222.16,4
2024-07-13,Europe,Insight Pro,Mid-Market,1353.15,1
2024-07-14,APAC,Analytics Suite,Enterprise,6251.69,1
2024-07-14,APAC,Dashboard Builder,SMB,244.31,3
2024-07-14,North America,Dashboard Builder,SMB,329.53,3
2024-07-14,Europe,Data Connector,Mid-Market,1367.45,4
2024-07-15,LATAM,Insight Pro,Mid-Market,595.33,4
2024-07-15,APAC,Insight Pro,SMB,231.52,1
2024-07-15,North America,Insight Pro,Enterprise,4510.49,2
2024-07-15,Europe,Insight Pro,SMB,220.7,2
2024-07-15,North America,Insight Pro,Mid-Market,1554.67,5
2024-07-15,Europe,Data Connector,SMB,438.83,2
2024-07-15,Europe,Insight Pro,SMB,223.22,2
2024-07-16,North America,Analytics Suite,SMB,303.48,3
2024-07-16,North America,Analytics Suite,Mid-Market,836.15,3
2024-07-16,APAC,Data Connector,Mid-Market,933.7,4
2024-07-16,APAC,Analytics Suite,Mid-Market,1294.05,1
2024-07-17,LATAM,Analytics Suite,Enterprise,2302.1,1
2024-07-17,LATAM,Analytics Suite,Enterprise,2961.0,1
2024-07-17,North America,Data Connector,Enterprise,2219.9,1
2024-07-17,Europe,Dashboard Builder,Mid-Market,1461.56,5
2024-07-17,North America,Insight Pro,SMB,212.34,3
2024-07-18,North America,Insight Pro,Enterprise,3847.54,1
2024-07-18,Europe,Insight Pro,Mid-Market,723.34,1
2024-07-18,North America,Data Connector,Mid-Market,638.61,2
2024-07-19,North America,Dashboard Builder,Mid-Market,873.48,3
2024-07-19,LATAM,Data Connector,SMB,298.39,3
2024-07-19,Europe,Analytics Suite,Mid-Market,850.85,2
2024-07-19,APAC,Dashboard Builder,Enterprise,4109.44,2
2024-07-19,APAC,Analytics Suite,Enterprise,4434.94,1
2024-07-19,APAC,Insight Pro,Enterprise,3387.92,1
2024-07-19,APAC,Data Connector,Mid-Market,949.78,3
2024-07-19,North America,Data Connector,Mid-Market,1255.12,1
2024-07-19,APAC,Analytics Suite,Mid-Market,1108.12,3
2024-07-20,North America,Insight Pro,SMB,313.27,3
2024-07-20,APAC,Dashboard Builder,Mid-Market,826.06,4
2024-07-20,Europe,Insight Pro,Mid-Market,1339.83,1
2024-07-20,LATAM,Insight Pro,SMB,360.94,5
2024-07-20,North America,Data Connector,Enterprise,3492.01,2
2024-07-20,Europe,Insight Pro,Enterprise,3918.04,1
2024-07-21,North America,Dashboard Builder,Mid-Market,1161.69,4
2024-07-21,Europe,Analytics Suite,Mid-Market,1441.78,3
2024-07-21,APAC,Data Connector,Enterprise,3354.97,1
2024-07-21,North America,Analytics Suite,SMB,195.47,6
2024-07-21,Europe,Analytics Suite,SMB,283.78,4
2024-07-21,LATAM,Insight Pro,Mid-Market,1097.39,4
2024-07-21,North America,Data Connector,SMB,302.71,3
2024-07-21,Europe,Analytics Suite,Mid-Market,1416.22,3
2024-07-21,North America,Analytics Suite,SMB,319.59,3
2024-07-22,APAC,Analytics Suite,Enterprise,4291.16,1
2024-07-22,North America,Analytics Suite,Enterprise,4289.71,1
2024-07-22,North America,Data Connector,Enterprise,3582.26,1
2024-07-22,North America,Dashboard Builder,Enterprise,4690.47,2
2024-07-22,APAC,Analytics Suite,SMB,286.41,10
2024-07-22,APAC,Data Connector,Mid-Market,972.32,1
2024-07-22,Europe,Analytics Suite,Mid-Market,1326.56,1
2024-07-22,North America,Data Connector,Mid-Market,837.54,1
2024-07-22,APAC,Dashboard Builder,Enterprise,3937.38,3
2024-07-23,APAC,Data Connector,SMB,230.85,3
2024-07-23,Europe,Insight Pro,Enterprise,3731.81,1
2024-07-23,North America,Data Connector,Mid-Market,961.71,1
2024-07-23,North America,Data Connector,SMB,337.84,2
2024-07-23,APAC,Analytics Suite,Enterprise,4237.1,1
2024-07-23,North America,Insight Pro,SMB,326.34,3
2024-07-24,North America,Analytics Suite,SMB,195.05,2
2024-07-24,North America,Dashboard Builder,SMB,474.59,4
2024-07-24,LATAM,Insight Pro,Enterprise,5401.96,1
2024-07-24,Europe,Dashboard Builder,Mid-Market,1579.47,1
2024-07-24,North America,Dashboard Builder,Mid-Market,1718.0,9
2024-07-24,North America,Data Connector,Enterprise,3378.79,1
2024-07-24,APAC,Data Connector,SMB,359.02,2
